user_name,pubtime,type,content,trans_num,comment_num,like_num,location,wb_type,,,,,,
在月亮上摘星星,2020年08月12日00:09,0,上午别下吧这雨看上去也太大了 还得看病呢 ,,5,2,,原创,普通用户,,,,,
元気溦溦様,2020年08月12日00:09,0,临睡前接到的通知，真好奇这雨能下多大 ,,2,,,原创,普通用户,,,,,
Dawnvv,2020年08月12日00:10,0,神tm网友 ,,2,4,,原创,普通用户,,,,,
梦也不想醒,2020年08月12日00:10,0,#天气即天意#这雨不下都不好意思了??????这气氛都烘托到这里了 2北京·后海 ,,1,,北京·后海,原创,普通用户,,,,,
Tinyandtiny,2020年08月12日00:10,0,太好了明天北京暴雨我终于能在家办公了加班的日子是没法写论文的我真是高估了自己的体力 ,,,3,,原创,普通用户,,,,,
从四点开始开心,2020年08月12日00:10,0,8.12北京由于特大暴雨，公司改为线上办公，可是我担心的是明天的网络会不会收到很严重的影响，以至于无法上课 ,,,2,,原创,,,,,,
不吃素的妞儿啊,2020年08月12日00:11,0, 作为公司办公室发通知的那个人，你们有多少人没睡等我发通知呢? 我今天不发通知，万一明天雨没下下来呢? 偷偷告诉你们，通知我已经写好了，我去睡觉了? ? ? ? ,,,,,原创,普通用户,,,,,
Sssssiege要煎蛋,2020年08月12日00:11,0,我倒要看看 今天北京到底下多大的暴雨 ,,5,1,,原创,普通用户,,,,,
桃花小姐好洋气,2020年08月12日00:11,0,预言 本周 QQ音乐的本地音乐榜-北京必有一首《小情歌》帝都人民 就是这么无趣 ,,,,,原创,普通用户,,,,,
Loveless_CH,2020年08月12日00:11,0,好奇明天北京的暴雨到底有多大已经通知明天居家办公了… ,,,,,原创,普通用户,,,,,
暴富计划v,2020年08月12日00:11,0,各种通知，各种提醒，感觉今天要是北京不下暴雨，几个龙王都没交代看…… ,,,1,,原创,普通用户,,,,,
糖果铺小老板,2020年08月12日00:11,0,收到一堆暴雨提醒搞的我怪紧张的，得是多大的暴雨 ,,1,1,,原创,,,,,,
忄眚灬,2020年08月12日00:12,0,为了迎接明日北京的暴雨，大晚上来新家关窗户 ,,,,,原创,普通用户,,,,,
一口都不甜,2020年08月12日00:12,0,早上见客户 结果被堵在了路上司机师傅为了安慰我拿自己的早餐小笼包给我吃辗转拍摄了一整天咖啡馆的老板娘帮忙做了打印为了删掉记录好脾气地清空了很多餐馆的文件晚上回家拼到了同小区的小姐姐加上司机 三个女生聊了一路奔波的一天 晚安了希望明天朝阳区的雨能辜负我的信任我就看看你能下多大！！ ,,4,1,,原创,普通用户,,,,,
this_YR,2020年08月12日00:12,0,被北京的暴雨预警搞得睡不着、这个雨究竟是有多大！ 还没下啊。 ,,,,,原创,普通用户,,,,,
远离有你的世界,2020年08月12日00:12,0,??北京市防汛办提示！12日早晨至夜间我市将有大到暴雨，请您注意出行安全，避让积水地段和危险道路???♀?我已经准备好穿一套带一套衣服去了[捂脸]估计只有雨伞??已经解决不了明天的问题。还没开始就已经让人觉得很吓人了，代入感太强了。 北京的同胞们都要注意安全#情感# ,,,2,,原创,个人认证,,,,,
撒切尔NO1,2020年08月12日00:12,0, 明天要是不下大暴雨，我都觉得我回公司取电脑花一个多小时都不值得了 ,,4,,,原创,普通用户,,,,,
容嬷嬷和小雨跳跳,2020年08月12日00:12,0,李斯丹妮lsdn 李李明天别出门啊，好好宅在家里喝奶茶打游戏放空，就这防汛预警我今天一晚上手机没停过，我就等着明天观摩这雨到底得多大！北京市防汛办提示：12日我市将有大到暴雨，倡议各单位弹性工作、居家办公，建议市民减少出行，停放车辆注意安全，避免到山区、河边和危险地带。@李斯丹妮 ,1,28,31,,原创,,,,,,
想不出花名,2020年08月12日00:12,0,明天北京暴雨不是最让我担心的事情，最担心的是因为暴雨睡得太香，然后完美错过了明天的会议，我要定五个闹铃起床，阿门? ,,,1,,原创,,,,,,
八丈狸,2020年08月12日00:13,0,还是没有等来居家办公的通知[泪流满面] ,,,,,原创,,,,,,
Fionaaaa-W,2020年08月12日00:13,0,希望明天可以在家办公 许愿！ ,,,1,,原创,,,,,,
i杨洋,2020年08月12日00:13,0,从11日上午起至今，铺天盖地的短信，gz号，微博推送暴雨预警就没有停过pyq里都是一副我到底要看看他能下多大的吃瓜架势不管怎样，提前做好预防，没毛病 ,,2,2,,原创,个人认证,,,,,
呵哦啊啊呜,2020年08月12日00:13,0,从来没有像此刻一样想走到生命的尽头现在这个年纪向往退休的生活是不是有点荒唐我能想象他每天起床看着暴雨连天听着雨点拍击玻璃声音的样子明天北京也会有一场大雨这场雨会带给我们什么呢是惊吓亦或是惊喜都不重要了突然想在雨中奔跑又突然想到某个电视剧情节男主抱着一大束红玫瑰在雨中跑到女主面前两个人笑出了艳阳天人说开始喜欢花是衰老的象征好吧 那就是老了我爱白色的玫瑰花 ,,,,,原创,普通用户,,,,,
夏妩君,2020年08月12日00:13,0,在高铁上坐了一天，从北到南，看层叠的云悬浮在浅蓝色的天空下，逐渐鲜明的绿野，就像逆行在季节之中。然后北京发了暴雨预警，出差的人看着留守的人居家办公，心有羡慕。分享一首旋律线很美的作品吧，《Always Will Be》，也是十年前的作品，旋律和编曲都很美，用耳机听听看，开篇的半分钟，人声和伴奏是分开的，单独听人声，非常干净。Raining And Ok，这个组合的作品大多是独立摇滚，成员：Trevor Tillery (vocals/guitar/piano)Nick Duplessis (drums/percussion)Stephen Spears (bass/vocals)很久没听独立摇滚，再听还是为这恰到好处的清新、热情和生命力感到惊讶。这首作品应该是最能贴切描绘我看了一天白云蓝天绿野的心情，清润而透彻。人声的清澈，旋律线的变化，鼓点的夏意，待和声一起，这就是青春啊。青春不局限在某个年纪，而是，仍然保留并滋养的感知力和表现力。心里有光的人，一举一动，内里的光循着所有孔隙透出亮色，这首歌让我想起野田洋次郎——我知道这和洋次郎并没有什么关系。明天也会是幸福感满满的一天呐。#夏夏的音乐推荐#夏夏的音乐专区分享单曲 KAlways Will Be (@网易云音乐) ,3,10,3,,原创,个人认证,,,,,
_陈太太本人,2020年08月12日00:14,0,我觉得下不下来了都这个时候了一点动静没有明天在家办公估计也凉了就看明天是毛毛细雨还是大太阳了 ,1,,3,,原创,,,,,,
庞庞胖-,2020年08月12日00:14,0,明天暴雨 ，不去上班了～喜欢??，开心～ ,,2,1,,原创,,,,,,
Isabbella-粒粒,2020年08月12日00:14,0,感觉稍后睡醒时，会电闪雷鸣狂风大作暴雨连连………#北京防汛# ,1,,,,原创,,,,,,
胡闹的世道,2020年08月12日00:14,0,第一次想知道到底是哪个 ,,,,,原创,,,,,,
西柚吹泡泡_,2020年08月12日00:15,0,…我倒要看看明天，哦不，今天，北京的暴雨能有多大… ,,,,,原创,普通用户,,,,,
CARBONADO,2020年08月12日00:15,0, 要是不下雨可就尴尬了 ,,,,,原创,普通用户,,,,,
Nantale,2020年08月12日00:15,0,因为北京明天要下大暴雨所以可以在家办公还收到了礼物，暖心的一天啦，感觉这么快就接受了一月一出差的节奏！ ,,,1,,原创,普通用户,,,,,
DashingUnicornnn,2020年08月12日00:15,0,你别惴惴不安北京明儿的暴雨会是什么架势，本人在内蒙已经开始感受狂风暴雨和秋意浓了。 ,,,,,原创,普通用户,,,,,
Catgod是我的猫啊,2020年08月12日00:15,0,一起等雨，坐标朝阳区 2北京 ,,,,北京,原创,,,,,,
林知芒,2020年08月12日00:15,0,看了一下午北京暴雨预警，临睡前终于收到了在家办公的通知，开心到从沙发上蹦了起来。（主要是因为漂亮妹妹说，明天要带着电脑来我家一起办公，我太幸福了，嘻嘻。 ,,4,7,,原创,普通用户,,,,,
道理我都懂了,2020年08月12日00:16,0,哈哈哈哈哈哈 ,,,,,原创,,,,,,
今天也是很烦心,2020年08月12日00:16,0,我明晚的火车诶 淦 ,,6,,,原创,普通用户,,,,,
小兔子碎碎念的朋友圈,2020年08月12日00:16,0,我倒要看看，明天北京的雨能有多大！能比白娘子水漫金山救许仙那天还大吗？能比依萍要钱被她爸赶出来那天还大吗？能比楚雨荨和慕容云海分手那天还大吗？ 2北京 ,2,11,6,北京,原创,普通用户,,,,,
暗鲨骆驼,2020年08月12日00:16,0,这雨不下都不行了气氛烘托的太强了都居家办公了 公园也都关了我到要看看能下成啥样 just like721吗..？ ,,,5,,原创,,,,,,
通货朋仗,2020年08月12日00:16,0,前戏已经做足了，就看老天爷表现了！ ,,4,15,,原创,,,,,,
离地球远一点,2020年08月12日00:17,0,这么晚通知北京暴雨明天不上班，公园也关门一天，倒要看看醒来究竟有多暴的雨 ,,7,,,原创,普通用户,,,,,
电动扒士,2020年08月12日00:17,0,#成都暴雨##电动汽车那些事# 雨天电动车安不安全？现在的纯电动车电器部件都是IP67防水标准，理论上可以泡在水里都能保证安全的，相比燃油车还不用担心水进入进气口或者排气管；另外充电也不需要特别担心，接口都是符合国标设计的，唯一的问题是你为什么要在暴雨进行充电操作，还有这个鬼天气，减少外出最好～ ,,1,2,,原创,,,,,,
x_y_0109,2020年08月12日00:17,0,我在等明天早上北京的暴雨这样我就可以不去实验室了可以自己安排一天 ,,,,,原创,普通用户,,,,,
冰是睡着的水_MissMe,2020年08月12日00:18,0,北京明天一定要暴雨啊，这样才能在家办公 ,,2,,,原创,普通用户,,,,,
-柒分甜-,2020年08月12日00:18,0, 我就想知道今天的雨能有多大，又是防汛提示，又是在家办公，又是关闭各大公园景区，铺天盖地的预警都勾起我的好奇心了！ ,,,2,,原创,,,,,,
地狱砂糖兔,2020年08月12日00:18,0,北京明天大暴雨，发通知说鼓励各企业安排员工在家办公。我兴致勃勃地打开了公司群期待一个奇迹。结果看到公司通知说明天照常上班，只是时间弹性，但是依然要保证在公司够8个小时。公司大群下面一堆人感恩戴德。呵，德行。 ,,1,2,,原创,普通用户,,,,,
开卡车的老鲈鱼,2020年08月12日00:18,0,北京这回防汛做得好绝。。各种短信轰炸注意暴雨。好多公司要求居家办公。户外景区都停止营业。。明天是得下夺大的雨哇 ,,4,2,,原创,普通用户,,,,,
筱WAN潼氵,2020年08月12日00:19,0,今天到底要下多大的雨，激动的睡不着了 ,,,1,,原创,,,,,,
XIAOER单哟_,2020年08月12日00:19,0,去年去看决赛在西安被妖风操控场地垮了人被吹成哈士奇年初去看决赛在广州拿着最贵的票到处跟人换最便宜的票今年即将又去决赛出现北京成都两地暴雨预警大晚上的，对即将的出行……我有种不详的预感，真的。 ,,4,1,,原创,普通用户,,,,,
不是二潇,2020年08月12日00:19,0,好奇北京明天的暴雨到底有多大？刮台风吗？ 收到通知说北京的同事明天在家办公一天 实名羡慕 ,,,,,原创,普通用户,,,,,
LPA安妮小时候,2020年08月12日00:19,0,整个朋友圈都在好奇明天的雨有多大好期待 2北京·八里庄 ,,,2,北京·八里庄,原创,个人认证,,,,,
王颖seven,2020年08月12日00:19,0,我有点期待北京明天的暴雨呢??（搓搓手） 2北京 ,,2,2,北京,原创,,,,,,
Subaru_攒rp,2020年08月12日00:20,0,刚刚得到通知在家办公 ,,1,1,,原创,个人认证,,,,,
张二丫yaya,2020年08月12日00:20,0,已经等到了12点……丝毫没有架势…… 但是失眠是真的又睡不着了有没有聊天的 ,,5,,,原创,,,,,,
古古怪界在逃退堂鼓演奏家,2020年08月12日00:20,0,北京这个暴雨预警，我真想知道到底能下多大…… ,,,,,原创,普通用户,,,,,
Cindy石尛鈅兒,2020年08月12日00:20,0,感觉这雨不下都不行了…气氛都烘托到这儿了… 2北京·中国建筑科学研究院 ,,,1,北京·中国建筑科学研究院,原创,普通用户,,,,,
卡戴珊的腰V,2020年08月12日00:20,0,说的对 ,,4,4,,原创,,,,,,
张鸿鸿轩,2020年08月12日00:20,0, 这要是今天不下雨，都对不起这么多提醒和贴心的在家办公 ,,,2,,原创,普通用户,,,,,
小会计199508,2020年08月12日00:21,0,CPA打卡 晚总结会计：二轮收入剩最后一个专题，明天搞定财管：二轮第十三章 剩平心结转分步法+强化练习税法：二轮增值税剩多选。明天北京大暴雨，破单位也不安排在家办公，真的是置员工生死于度外，如果下很大就请年假吧…… 河北会计职称考试又取消几个城市，不过我已经有抵抗力了，丝毫不会对我产生影响，CPA按部就班！尽力而为，一切随缘 ,,4,1,,原创,普通用户,,,,,
崔西的翠喜儿,2020年08月12日00:21,0,到了验证气象雷达这个APP是不是靠谱的时候了。 2北京 O网页链接 ,,,,北京,原创,普通用户,,,,,
没有上班了,2020年08月12日00:21,0,全北京人民不是在等待暴雨，是在好奇世界末日长啥样。 ,,,,,原创,普通用户,,,,,
蒸汽金属滑,2020年08月12日00:21,0,除了老板之外的全国人民，都知道北京明天要大暴雨不适合出门了。 ,,1,3,,原创,普通用户,,,,,
某执绿野寻獐兔,2020年08月12日00:22,0,直到现在，我和很多人一样，依然忘不了那年新闻里广渠门桥下那个画面。不管这些年市政府在防汛方面做了多少积极的工作，伤口就是伤口，永远疼痛在这个城市的集体记忆里。我拒绝一切对北京暴雨的调侃和讽刺。人们有权利恐慌也有权利不打气精神。 ,,5,28,,原创,个人认证,,,,,
湛泸剑,2020年08月12日00:22,0,#50秒速览北京应对最强降雨举措#【#50秒速览北京应对入汛来最强降雨举措#：公园景区全关闭 部分公交停运8月11日，北京市防汛指挥部提示：12日早晨至夜间北京市将有大到暴雨，倡议各单位实行弹性工作制、居家办公，建议市民减少出行。为积极应对强降雨，明日全市公园景区采取关闭措施。公交集团所属怀柔、延庆、门头沟、房山等区105条山区公交运营线路，自8月12日首车起，采取临时停驶措施。北京两机场计划取消航班542架。 @沸点视频 O视频|北京应对入汛来最强降雨举措：公园景区全关闭 部分公交停运  ,8,2,2,,原创,个人认证,,,,,
Kkkkkkkiko_777,2020年08月12日00:23,0, 北京明儿这雨不下都不行了，气氛都烘到这了 2北京·北关 ,,3,1,北京·北关,原创,,,,,,
窝囊小陈,2020年08月12日00:23,0,提醒暴雨的信息一会儿一个，又看了未来两周的天气预报……没关窗户的卧室你要挺住！！希望10天以后回去看到的不要是一片狼藉 2秦皇岛 ,,,,秦皇岛,原创,,,,,,
京城里的七彩祥龍,2020年08月12日00:23,0,大雨没来仿佛已经提前在网上感受到了但愿这次天气预报准愿在北京的所以人一切安好 ,,,,,原创,普通用户,,,,,
cago42gnwdfatess,2020年08月12日00:23,0,看到说北京今天要下暴雨所以想了想 我大概就是非常喜欢这种末日感 我老说我憎恨下雨天 其实就是雨下得不是那么那么大 半大不大要下不下的 所以很讨厌 我很想看看特别特别大的暴雨是什么样的换句话说老子也想在北京生活！淦 ,,,,,原创,普通用户,,,,,
崔西的翠喜儿,2020年08月12日00:23,0,到了验证气象雷达这个APP是不是靠谱的时候了。 2北京  ,,,4,北京,原创,,,,,,
聪明可爱毛毛总,2020年08月12日00:23,0,北京今晚说好的大暴雨呢……被空气闷到窒息…… ,,,,,原创,普通用户,,,,,
柳根儿,2020年08月12日00:24,0,在北京明天全天暴雨预警的情况下，午夜时分，洒水车还在路上工人还在工作，休息一下，利国利民，不好吗 ,,,,,原创,普通用户,,,,,
Jk_Young,2020年08月12日00:24,0,听说今天一早开始…北京会有暴雨 ,,,1,,原创,个人认证,,,,,
攒一口袋星星送给你丷,2020年08月12日00:24,0,这是要下多大啊… ,,,,,原创,普通用户,,,,,
此刻输入中,2020年08月12日00:24,0,听说北京明天暴雨，请不要影响我的航班，我真的会生气哦[冰雪奇缘艾莎] ,,,1,,原创,普通用户,,,,,
3号城市观察员,2020年08月12日00:24,0,北京听说有大暴雨，你注意安全。 ,,,,,原创,普通用户,,,,,
今年做自己吧,2020年08月12日00:24,0,希望明天后天不要下大暴雨我刚刚看了一条博，北京市下了文件强调抗洪防灾工作预计状况会类似2012年的721暴雨评论里有人说，721暴雨遇难了七十多人那得多大的雨啊我偶尔也忧忧国忧忧民同时很担心13号那天还能不能出去玩 ,,,7,,原创,普通用户,,,,,
秦小羊咩,2020年08月12日00:24,0,全北京市都在等一场暴雨过去明天WFH ,,2,1,,原创,,,,,,
